Year,Host,Winner
1896,Athens,
1900,Paris,Great Britain
1904,St. Louis,Canada
1908,London,Great Britain
1912,Stockholm,Great Britain
1920,Antwerp,Belgium
1924,Paris,Uruguay
1928,Amsterdam,Uruguay
1932,Los Angeles,
1936,Berlin,Italy
1948,London,Sweden
1952,Helsinki,Hungary
1956,Melbourne,Soviet Union
1960,Rome,Yugoslavia
1964,Tokyo,Hungary
1968,Mexico City,Hungary
1972,Munich,Poland
1976,Montreal,East Germany
1980,Moscow,Czechoslovakia
1984,Los Angeles,France
1988,Seoul,Soviet Union
1992,Barcelona,Spain
1996,Atlanta,Nigeria
2000,Sydney,Cameroon
2004,Athens,Argentina
2008,Beijing,Argentina
2012,London,Mexico
2016,Rio de Janeiro,Brazil