LID,Club,Homecity,Stadium,Capacity,2015-16 finish,First Season,League Titles
a002,Leicester City,Leicester,King Power Stadium,32312,1,1908,1
a002,Arsenal,London,Emirates Stadium,60260,2,1904,13
a002,Tottenham Hotspur,London,White Hart Lane,36284,3,1909,2
a002,Manchester City,Manchester,Etihad Stadium,55097,4,1899,4
a002,Manchester United,Manchester,Old Trafford,75653,5,1892,20
a002,Southampton,Southampton,St.Mary's Stadium,32505,6,1966,0
a002,West Ham United,London,Upton Park,60000,7,1923,0
a002,Liverpool,Liverpool,Anfield,44742,8,1894,18
a002,Stoke City,Stoke-on-Trent,Britannia Stadium,27740,9,1888,0
a002,Chelsea,London,Stamford Bridge,41798,10,1907,5
a002,Everton,Liverpool,Goodison Park,39571,11,1888,9
a002,Swansea City,Swansea,Liberty Stadium,20909,12,1981,0
a002,Watford,Watford,Vicarage Road,21577,13,1982,0
a002,West Bromwich Albion,West Bromwich,The Hawthorns,26850,14,1888,1
a002,Crystal Palace,London,Selhurst Park,25456,15,1969,0
a002,AFC Bournemouth,Bournemouth,Dean Court,11464,16,2015,0
a002,Sunderland,Sunderland,Stadium of Light,48707,17,1890,6
a002,Burnley,Burnley,Turf Moor,21401,,1888,2
a002,Middlesbrough,Middlesbrough,Riverside Stadium,33746,,1902,0
a002,Hull City,Hull,KCOM Stadium,25400,,2008,0